RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy,C
25,HSS16X12X5/16,HSST16X12X0.313,15.7,16.0,12.0,0.291,595.0,384.0,727.0,87.7,72.2,107.0
26,HSS16X8X5/8,HSST16X8X0.625,25.7,16.0,8.0,0.581,815.0,274.0,681.0,129.0,79.2,132.0
27,HSS16X8X1/2,HSST16X8X0.5,20.9,16.0,8.0,0.465,679.0,230.0,563.0,106.0,65.5,108.0
28,HSS16X8X3/8,HSST16X8X0.375,16.0,16.0,8.0,0.349,531.0,181.0,436.0,82.1,50.8,83.4
29,HSS16X8X5/16,HSST16X8X0.313,13.4,16.0,8.0,0.291,451.0,155.0,369.0,69.4,43.0,70.4
30,HSS16X8X1/4,HSST16X8X0.25,10.8,16.0,8.0,0.233,368.0,127.0,300.0,56.4,35.0,57.0
31,HSS16X4X5/8,HSST16X4X0.625,21.0,16.0,4.0,0.581,539.0,54.1,174.0,92.9,32.5,60.5
32,HSS16X4X1/2,HSST16X4X0.5,17.2,16.0,4.0,0.465,455.0,47.0,150.0,77.3,27.4,50.7
33,HSS16X4X3/8,HSST16X4X0.375,13.2,16.0,4.0,0.349,360.0,38.3,120.0,60.2,21.7,39.7
34,HSS16X4X5/16,HSST16X4X0.313,11.1,16.0,4.0,0.291,308.0,33.2,103.0,51.1,18.5,33.8
35,HSS16X4X1/4,HSST16X4X0.25,8.96,16.0,4.0,0.233,253.0,27.7,85.2,41.7,15.2,27.6
36,HSS16X4X3/16,HSST16X4X0.188,6.76,16.0,4.0,0.174,193.0,21.5,65.5,31.7,11.7,21.1
37,HSS14X14X5/8,HSST14X14X0.625,30.3,14.0,14.0,0.581,897.0,897.0,1430.0,151.0,151.0,208.0
38,HSS14X14X1/2,HSST14X14X0.5,24.6,14.0,14.0,0.465,743.0,743.0,1170.0,124.0,124.0,170.0
39,HSS14X14X3/8,HSST14X14X0.375,18.7,14.0,14.0,0.349,577.0,577.0,900.0,95.4,95.4,130.0
40,HSS14X14X5/16,HSST14X14X0.313,15.7,14.0,14.0,0.291,490.0,490.0,759.0,80.5,80.5,109.0
41,HSS14X10X5/8,HSST14X10X0.625,25.7,14.0,10.0,0.581,687.0,407.0,832.0,120.0,95.1,146.0
42,HSS14X10X1/2,HSST14X10X0.5,20.9,14.0,10.0,0.465,573.0,341.0,685.0,98.8,78.5,120.0
43,HSS14X10X3/8,HSST14X10X0.375,16.0,14.0,10.0,0.349,447.0,267.0,528.0,76.3,60.7,91.8
44,HSS14X10X5/16,HSST14X10X0.313,13.4,14.0,10.0,0.291,380.0,227.0,446.0,64.6,51.4,77.4
45,HSS14X10X1/4,HSST14X10X0.25,10.8,14.0,10.0,0.233,310.0,186.0,362.0,52.4,41.8,62.6
46,HSS14X6X5/8,HSST14X6X0.625,21.0,14.0,6.0,0.581,478.0,124.0,334.0,88.7,48.4,83.7
47,HSS14X6X1/2,HSST14X6X0.5,17.2,14.0,6.0,0.465,402.0,105.0,279.0,73.6,40.4,69.3
48,HSS14X6X3/8,HSST14X6X0.375,13.2,14.0,6.0,0.349,317.0,84.1,219.0,57.3,31.6,53.7
49,HSS14X6X5/16,HSST14X6X0.313,11.1,14.0,6.0,0.291,271.0,72.3,186.0,48.6,26.9,45.5
50,HSS14X6X1/4,HSST14X6X0.25,8.96,14.0,6.0,0.233,222.0,59.6,152.0,39.6,22.0,36.9
51,HSS14X6X3/16,HSST14X6X0.188,6.76,14.0,6.0,0.174,170.0,45.9,116.0,30.1,16.7,28.0
52,HSS14X4X5/8,HSST14X4X0.625,18.7,14.0,4.0,0.581,373.0,47.2,148.0,73.1,28.5,52.6
53,HSS14X4X1/2,HSST14X4X0.5,15.3,14.0,4.0,0.465,317.0,41.2,127.0,61.0,24.1,44.1
54,HSS14X4X3/8,HSST14X4X0.375,11.8,14.0,4.0,0.349,252.0,33.6,102.0,47.8,19.1,34.6
55,HSS14X4X5/16,HSST14X4X0.313,9.92,14.0,4.0,0.291,216.0,29.2,87.7,40.6,16.4,29.5
56,HSS14X4X1/4,HSST14X4X0.25,8.03,14.0,4.0,0.233,178.0,24.4,72.4,33.2,13.5,24.1
57,HSS14X4X3/16,HSST14X4X0.188,6.06,14.0,4.0,0.174,137.0,19.0,55.8,25.3,10.3,18.4
58,HSS12X12X5/8,HSST12X12X0.625,25.7,12.0,12.0,0.581,548.0,548.0,885.0,109.0,109.0,151.0
59,HSS12X12X1/2,HSST12X12X0.5,20.9,12.0,12.0,0.465,457.0,457.0,728.0,89.6,89.6,123.0
60,HSS12X12X3/8,HSST12X12X0.375,16.0,12.0,12.0,0.349,357.0,357.0,561.0,69.2,69.2,94.6
61,HSS12X12X5/16,HSST12X12X0.313,13.4,12.0,12.0,0.291,304.0,304.0,474.0,58.6,58.6,79.7
62,HSS12X12X1/4,HSST12X12X0.25,10.8,12.0,12.0,0.233,248.0,248.0,384.0,47.6,47.6,64.5
63,HSS12X12X3/16,HSST12X12X0.188,8.15,12.0,12.0,0.174,189.0,189.0,290.0,36.0,36.0,48.6
64,HSS12X10X1/2,HSST12X10X0.5,19.0,12.0,10.0,0.465,395.0,298.0,545.0,78.8,69.6,102.0
