RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy
163,TUB1601205,TUB1601205,16.9,16.0,12.0,0.3125,635.0,409.0,777.0,93.8,77.2
164,TUB1601206,TUB1601206,20.1,16.0,12.0,0.375,748.0,482.0,922.0,111.0,91.3
165,TUB1601208,TUB1601208,26.4,16.0,12.0,0.5,962.0,618.0,1200.0,144.0,118.0
166,TUB1601605,TUB1601605,19.4,16.0,16.0,0.3125,789.0,789.0,1220.0,113.0,113.0
167,TUB1601606,TUB1601606,23.1,16.0,16.0,0.375,931.0,931.0,1450.0,134.0,134.0
168,TUB1601608,TUB1601608,30.4,16.0,16.0,0.5,1200.0,1200.0,1890.0,175.0,175.0
169,TUB180605,TUB180605,14.4,18.0,6.0,0.3125,546.0,97.0,274.0,78.1,35.8
170,TUB180606,TUB180606,17.1,18.0,6.0,0.375,641.0,113.0,322.0,92.2,42.1
171,TUB180608,TUB180608,22.4,18.0,6.0,0.5,818.0,141.0,410.0,119.0,53.9
172,TUB200405,TUB200405,14.4,20.0,4.0,0.3125,596.0,43.7,143.0,80.8,24.3
173,TUB200406,TUB200406,17.1,20.0,4.0,0.375,699.0,50.3,165.0,95.3,28.5
174,TUB200408,TUB200408,22.4,20.0,4.0,0.5,889.0,61.6,205.0,123.0,36.0
175,TUB200805,TUB200805,16.9,20.0,8.0,0.3125,838.0,202.0,529.0,105.0,55.6
176,TUB200806,TUB200806,20.1,20.0,8.0,0.375,988.0,236.0,625.0,125.0,65.6
177,TUB200808,TUB200808,26.4,20.0,8.0,0.5,1270.0,300.0,806.0,162.0,84.7
178,TUB2001205,TUB2001205,19.4,20.0,12.0,0.3125,1080.0,495.0,1070.0,130.0,91.8
179,TUB2001206,TUB2001206,23.1,20.0,12.0,0.375,1280.0,583.0,1270.0,154.0,109.0
180,TUB2001208,TUB2001208,30.4,20.0,12.0,0.5,1650.0,750.0,1650.0,201.0,141.0
